Job Code,Job Title
ABYCLK,Buying Asst/Clerk
ABYR,Buyer
ACSM,Customer Service Mgr
ACSM,Manager - Customer Service
ADMNA,Administrative Asst
ADMNA,Assistant Manager - HR Admin
ADMNCR,Adm Asst/Cash Rm Mgr
AINVCL,Inventory Clerk
AMER,Merchandiser
AMERWS,Wine Steward
AOPAUD,Operations Auditor
ARECCL,Receiving Clerk
ARECCL,CRT
ARECPT,Receptionist
ASTA,Stocktaker Administrative
DREGOP,Regional Director Operations
FMRE,FMR - Exempt
MABM,Assistant Manager - Branch
MABM,Asst Branch Manager
MACRM,Asst Cash Room Mgr
MACRM,Assistant Manager - Cashroom
MADM,Assistant Manager - Deli
MADM,Asst Deli Manager
MAFEM,Asst Front-End Mgr
MAFLM,Assistant Manager - Floor
MAFLM,Asst Floor Manager
MAMM,Assistant Manager - Meat
MAMM,Asst Meat Manager
MAPM,Assistant Manager - Produce
MAPM,Asst Produce Manager
MARM,Assistant Manager - Receiving
MARM,Asst Receiving Mgr
MASFM,Assistant Manager - Seafood
MASFM,Asst Seafood Manager
MASWM,Assistant Manager - Equipment
MASWM,Asst Smallwares Mgr
MBM,Branch Manager
MBM,Manager - Branch
MCRM,Cash Room Mgr
MCRM,Manager - Cashroom
MDELRM,Deli Receiving Mgr
MDM,Deli Manager MEX
MDM,Manager - Deli and Perishable
MDMN,Deli Manager MNE
MFEM,Front-End Manager MEX
MFEM,Manager - Front End
MFEMH,Front End Manager MNE
MFLRM,Floor Manager MEX
MFLRM,Manager - Floor
MFLRMN,Floor Manager MNE
MFRZRM,Freezer Manager
MFRZRM,Manager - Freezer
MIC,Inventory Controller
MIC,Manager - Inventory Control
MMM,Manager - Meat
MMM,Meat Manager
MNM,Night Manager
MPM,Manager - Produce
MPM,Produce Manager
MRM,Manager - Receiving
MRM,Receiving Manager
MRO,Manager - Regional Operations
MRO,Regional Operations Manager
MSFM,Manager - Seafood
MSFM,Seafood Manager
MSWM,Manager - Equipment
MSWM,Smallwares Manager
SDS,Deli Supervisor
SDS,Supervisor - Deli
SFES,Front-End Supervisor
SFES,Supervisor - Front End
SFRZRS,Freezer Supervisor
SMS,Meat Supervisor
SMS,Supervisor - Meat
SNS,Night Supervisor
SPS,Produce Supervisor
SPS,Supervisor - Produce
SRS,Receiving Supervisor
SSFS,Seafood Supervisor
SSFS,Supervisor - Seafood
SSWS,Smallwares Spvsr
TCPROG,Computer Programmer
WCAS,Cashier
WHILO,Hilo Driver
WLOAD,Loader
WPINSP,Produce Inspector
WPKIBT,IBT Picker
WPORT,Porter
WSAISL,Stocker Aisle
WSCOOT,Scooter Driver
WSFRZR,Stocker Freezer
WSMEAT,Stocker Meat
WSPERI,Stocker Perishable
WSPROD,Stocker Produce
WSRECE,Stocker Receiving
WSSEAF,Stocker Seafood
WSSMAL,Stocker Smallwares
